target,first,last
0,0.5365518489939827,0.6542872512373996
5660,0.6584414241966057,0.24880092724593023
13380,0.5983377627414865,0.6242169855818567
1,0.5728343280196145,0.6751823378981847
26105,0.8140676972929328,0.21626515367092375
11647,0.5921714876530573,0.6426063992636407
207,0.4986387663642358,0.5774829723204982
18952,0.6432115969560332,0.26126370801602133
8918,0.6144749117421564,0.5028871497379797
1296,0.5360255745887507,0.5838021506340053
33740,0.9837926966770847,0.2161513337453109
8499,0.7198640214508936,0.48336893858664953
1426,0.56617204145142,0.5664312948702468
52170,0.9508383696723436,0.2311238712835024
8491,0.7267984970037793,0.4942877625687885
2172,0.44205725985150374,0.49723621906245286
9869,0.48703475846025124,0.21279489908939836
6051,0.6360070763914478,0.586046176317655
4114,0.6993390532387969,0.437193652108891
11902,0.8206934022644912,0.26258610805866345
4971,0.6199909355227576,0.662878452871514
5953,0.6772489729307275,0.5989762440965046
64382,0.979955246658756,0.22775961385807733
4960,0.4612506766816481,0.41628295443698105
6184,0.6316606052393532,0.6315259735307336
71444,0.8783431697888333,0.22804368195178865
4955,0.5959333997919591,0.6304541832341052
2,0.6524693195558933,0.7002462309930532
51748,0.8329185537701768,0.2141516947761188
4953,0.47830841472164853,0.573873176858577
